"presence","fold","bio01","bio04","bio12","bio15","forest","shrub","grass","wetland","crop","urban"
0,3,10.3270718232044,83.2871491712707,315.187845303867,37.8375690607735,0,0,0,0,0,1
0,2,1.90554545454545,86.2566636363637,499.646363636364,44.0554545454546,1,0,0,0,0,0
0,2,21.9787077826725,45.8714537444934,1249.39353891336,48,0,0,0,0,0,1
1,2,8.99146586345382,50.2195582329317,1993.90963855422,60.5993975903615,0,0,0,0,0,0
1,1,9.25977900552486,57.9029834254144,1870.91933701657,62.5160220994475,1,0,0,0,0,0
1,3,12.5786632390746,33.9243958868895,1047.85861182519,84.7519280205655,1,0,0,0,0,0
1,2,8.12577873254565,55.9184532760473,2488.53383458647,68.0526315789474,1,0,0,0,0,0
1,3,10.6626385809313,83.7655764966741,330.878048780488,38.5476718403548,0,0,0,0,0,1
0,1,7.12126816380449,57.1791413474241,811.571994715984,77.7622192866579,1,0,0,0,0,0
1,1,12.7722222222222,35.043373015873,878.509259259259,85.4973544973545,1,0,0,0,0,0
0,2,6.35897703549061,110.475855949896,298.195198329854,68.5250521920668,0,0,1,0,0,0
0,1,18.0992927864215,67.5410749646393,1500.48797736917,20,0,0,0,1,0,0
1,2,9.11014492753623,35.8765217391304,3200.50724637681,52,1,0,0,0,0,0
0,3,9.77350835322196,99.8202028639618,925.76491646778,28,0,0,0,0,0,1
0,2,15.93008,20.675264,653.2512,89.5344,0,0,0,0,0,1
0,1,9.5859393939394,87.2431515151515,1162.24727272727,10,0,0,0,0,0,1
0,3,10.3916022099448,83.239635359116,308.348066298343,37.8011049723757,0,0,0,0,0,1
0,2,17.4308209959623,43.7015477792732,328.504710632571,73.7362045760431,0,0,0,0,0,1
0,2,20.3,52.9829855072464,1314.67826086957,41,1,0,0,0,0,0
0,1,9.09250317662008,92.1629351969505,432.285895806862,69,0,0,0,0,1,0
0,2,6,81.7037997957099,485.032686414709,25.2236976506639,0,0,0,0,1,0
0,3,5.93758389261745,109.361174496644,848.467561521253,14,0,0,0,0,0,1
1,1,19.6153153153153,44.8893243243243,640.385885885886,83.3228228228228,0,1,0,0,0,0
0,3,9.7,99.39,920.997596153846,28.2451923076923,0,0,0,0,0,1
0,2,15.9346153846154,20.4109455128205,617.605769230769,87.6778846153846,0,0,0,0,0,1
0,2,19.3,62.4575988700565,1336.25423728814,23,1,0,0,0,0,0
1,2,16.0215762273902,61.6810465116279,656.298449612403,83.2945736434109,0,0,0,0,0,0
1,2,13.9148665819568,62.1562388818297,1201.46886912325,83.1473951715375,1,0,0,0,0,0
0,1,17.9984743411928,78.8437447988904,981.603328710125,31.9847434119279,0,0,0,0,0,1
1,1,4.95567010309278,59.9648067010309,436.083762886598,59.694587628866,0,1,0,0,0,0
1,1,17.2102150537634,38.0697446236559,445.420698924731,93.9086021505376,0,1,0,0,0,0
0,2,4.48652631578947,121.226821052632,430.284210526316,70.8578947368421,0,0,1,0,0,0
0,1,8.37217496962333,84.6997326852977,364.391251518834,58.771567436209,0,0,1,0,0,0
1,3,14.7043969849246,45.3770728643216,692.825376884422,90.1984924623116,0,0,0,0,0,1
0,1,21.8393393393393,52.2026276276276,979.777777777778,79.0015015015015,0,0,0,0,1,0
0,2,10.6194444444444,83.6958838383838,1043.26893939394,15,1,0,0,0,0,0
0,3,10.6047204968944,94.6579875776397,1024.57763975155,20,0,0,0,0,0,1
0,3,10.3933904528764,90.2344063647491,442.476132190943,26.6621787025704,0,0,0,0,0,1
1,2,9.04194285714286,35.8845828571429,3134.048,52,1,0,0,0,0,0
0,2,21.9,44.4069264705882,1321.29705882353,48.0808823529412,0,0,0,1,0,0
0,2,19.3,62.6781534090909,1333.94034090909,23,1,0,0,0,0,0
0,3,9.7931654676259,100.370191846523,927.772182254196,29,0,0,0,0,0,1
1,2,9.16010752688172,50.9734086021505,2345.91720430108,61.2139784946236,1,0,0,0,0,0
0,2,22.4,43.0121597633136,1209.76035502959,51,0,0,0,1,0,0
