"presence","fold","bio08","bio09","bio16","bio17","forest","urban"
0,2,14.2811282051282,1.95425641025641,157.09641025641,94.4225641025641,0,0
0,1,27.5,17.6157142857143,611.033333333333,173,0,0
1,3,10.2262467191601,17.1905511811024,511.48687664042,12.3805774278215,0,0
0,1,16.5455578512397,-9.66580578512397,152.886363636364,28,0,0
0,1,20.0710900473934,-6.35402843601896,336.009478672986,71.9123222748815,0,0
0,1,16.9392324093817,-10.167697228145,202.020255863539,31,0,0
1,3,4.90797101449275,16.7756728778468,541.509316770186,133.808488612836,0,1
0,2,18.5597142857143,19.9482857142857,396.45,228,1,0
0,2,-3.52652173913043,11.8546739130435,341.122826086957,257.222826086957,0,1
0,3,17.1569739952719,-3.43569739952719,297.875886524823,253.632387706856,1,0
0,3,15.4040254237288,-4.37309322033898,295.258474576271,194.944915254237,0,1
0,1,23.5205357142857,1.62742346938776,301.69387755102,233.411989795918,0,0
0,2,-4.90157232704403,-3.46488469601677,325.076519916143,250,1,0
0,1,16.0758510638298,-3.96063829787234,139,26.9414893617021,0,0
0,1,9.17229916897507,22.3722991689751,437.439058171745,272.854570637119,1,0
0,3,-0.146947835738069,19.869589345172,143.337402885683,40.6115427302997,0,1
0,1,16.1112458654906,-11.396802646086,314.323042998898,87,1,0
0,1,-1.47642192347466,17.194519131334,244.230610134436,99.5573940020682,1,0
0,1,10.3561679790026,22.8778215223097,41.2112860892388,14.1902887139108,0,1
1,1,4.70558659217877,15.6565642458101,446.254189944134,82.4944134078212,1,0
0,3,0.735183129855716,20.9189789123196,121.538290788013,37.1620421753607,0,1
1,3,9.89914004914005,23.0482800982801,149.2542997543,70.4938574938575,0,0
0,1,9.13797139141742,24.9305591677503,243.971391417425,5.00520156046814,0,0
0,1,1.11438848920863,18.3438848920863,332.712230215827,255.420863309353,0,1
1,2,4.88115543328748,19.7225584594223,382.002751031637,14.6423658872077,1,0
0,2,13.4626038781163,23.4368421052632,139.47783933518,17.1094182825485,0,1
0,1,13.5672555205047,-9.88429022082019,173.965930599369,21,0,0
1,3,8.50213567839196,14.4562814070352,741.355527638191,52.1520100502513,0,0
1,3,9.78634639696587,18.0604298356511,572.505689001264,10.3034134007585,0,1
0,1,-3.86360153256705,-0.655427841634738,233.085568326948,157.840357598978,0,0
1,2,12.91375,23.3254166666667,139.206944444444,14,0,1
0,3,6.93599493029151,20.0974651457541,112.595690747782,72.851711026616,0,0
1,1,9.06392156862745,24.8819607843137,251.124183006536,5.23660130718954,0,0
0,3,0.3,20.401446051168,111.511679644049,36,0,1
1,3,1.88910256410256,16.5664102564103,625.789743589744,45.2397435897436,1,0
1,3,5.1162219850587,16.8408751334045,502.938100320171,87.2636072572038,1,0
1,2,4.36020304568528,13.2730964467005,1042.58781725888,184.883248730964,1,0
0,2,22.1072792362769,-1.7,258.193317422434,156.997613365155,0,1
1,1,11.3611288604899,-2.91767838125666,169.017039403621,38,0,0
0,3,15.5122470713525,-4.19712460063898,292.284345047923,196.696485623003,0,1
1,3,9.18139240506329,17.7392405063291,557.069620253164,11.420253164557,1,0
1,3,-2.74254689042448,14.0390918065153,476.62783810464,138.494570582428,1,0
1,2,11.9004172461752,23.6888734353269,172.808066759388,10.2962447844228,0,1
1,1,9.43191763191763,16.2444015444015,441.826254826255,11.951093951094,1,0
1,1,11.613672922252,23.6840482573727,186.356568364611,10,0,1
0,2,10.9644957983193,-9.08662464985994,157.285714285714,51.1624649859944,0,0
0,3,0.667588495575221,20.8349557522124,118.649336283186,37.0022123893805,0,1
0,2,-3.41357220412595,12.8778501628664,339,255.134636264929,0,1
1,2,13.4407713498623,21.4152892561983,129.593663911846,19.629476584022,0,0
1,3,11.0629228687415,20.223951285521,303.94451962111,2,0,0
0,2,14.5451381780962,1.80010235414534,155.490276356192,92.6591606960082,0,1
1,2,13.3773712737127,21.1218157181572,125.506775067751,20,0,0
0,2,13.2921621621622,21.2451351351351,111.82027027027,23.5851351351351,0,1
0,1,17.1806830309498,-10.01462113127,200.665955176094,31,0,0
0,1,16.9622863247863,-10.2,202,31,0,0
0,3,22.3,-3.62795566502463,301.448275862069,142.975369458128,0,1
0,1,23.6876404494382,1.69013732833958,300.028714107366,228.830212234707,0,1
0,3,21.9491108071135,6.81463748290014,295.169630642955,132.00683994528,0,0
0,1,-3.33362831858407,-0.152465233881163,225.270543615676,153.582806573957,1,0
0,3,0.503707865168539,-6.54123595505618,350.096629213483,275.066292134831,1,0
