"presence","fold","bio01","bio04","bio08","bio09","bio12","bio15","bio18","forest","shrub","grass","wetland","crop","urban"
0,1,17.5,70.6692896935933,9.7,22.7987465181059,1387.6364902507,21,312,0,0,0,1,0,0
0,1,21.0738095238095,51.8063541666667,24.4790178571428,15.4013392857143,269.482142857143,73.3258928571428,89.7529761904762,0,1,0,0,0,0
0,3,9.7,99.4156793145655,22.0179926560588,-3.67943696450428,920.483476132191,28.9302325581395,301.231334149327,0,0,0,0,0,1
0,3,19.0047819971871,71.4599859353024,22.8091420534459,27.8330520393812,1022.26441631505,23,194.135021097046,0,0,0,1,0,0
0,2,18.2070735090153,47.8742995839112,13.2065187239945,24.1320388349515,257.099861303745,76.0998613037448,19.0651872399445,0,0,0,0,0,1
0,2,17.9258021390374,43.8620053475936,13.3447860962567,21.3131016042781,260.612299465241,60.9893048128342,30.0093582887701,0,0,0,0,0,1
0,2,15.998717948718,20.4884935897436,17.7663461538462,13.0206730769231,622.908653846154,88.4967948717949,189.528846153846,0,0,0,0,0,1
0,2,14.9206730769231,20.1745352564103,16.5980769230769,12.0448717948718,751.564102564103,90.0352564102564,225.99358974359,0,0,0,0,1,0
0,1,19.4585055643879,25.7094753577107,21.6531001589825,17.2257551669316,463.882352941176,77.5580286168521,152.160572337043,0,0,0,0,1,0
0,3,6.87111984282908,77.0513064833006,-2.49813359528487,16.5318271119843,951.924361493124,55.0481335952849,114.777996070727,1,0,0,0,0,0
1,2,9.03540772532189,51.640482832618,3.33648068669528,15.7127682403433,2470.00858369099,62.343347639485,173.3830472103,1,0,0,0,0,0
1,3,8.87644670050761,42.2412487309645,4.16192893401015,14.3075126903553,1064.03553299492,66.6477157360406,92.7502538071066,1,0,0,0,0,0
0,1,8.12250287026406,94.4637198622273,19.2668197474168,-3.5,785.316877152698,12,217.83122847302,0,0,0,0,0,1
1,1,7.10256081946223,57.0196927016645,1.02599231754161,14.7583866837388,823.788732394366,78.4225352112676,38.291933418694,1,0,0,0,0,0
0,3,10.8,91.07869297164,9.8,22.8468557336622,432.149198520345,27.3871763255241,71,0,0,0,0,0,1
0,3,5.76996625421822,97.9501012373454,0.980877390326209,-6.0384701912261,1196.24634420697,10,310.299212598425,1,0,0,0,0,0
1,1,16.1328185328185,67.8936036036036,9.13281853281853,24.9431145431145,488.472329472329,81.5945945945946,5.28700128700129,0,0,1,0,0,0
0,1,12.86600249066,83.4812453300125,23.3702366127024,1.76600249066002,1058.26650062266,12,303.352428393524,0,0,0,0,0,1
0,3,-1.83397849462366,112.048688172043,10.9254480286738,-6.33362007168459,276.262365591398,39.9813620071685,108.189964157706,1,0,0,0,0,0
0,1,17.1216783216783,71.5908251748252,9.22167832167832,22.4172027972028,1424.73706293706,18,328.566433566434,1,0,0,0,0,0
0,3,-4.14090641553855,147.757092407298,14.3224249558564,-12.3757504414361,311.484402589759,50.5756327251324,139.214243672749,1,0,0,0,0,0
0,1,21.9,46.3662079062958,27.3,16.6420204978038,1247.11273792094,48,535.415812591508,0,0,0,0,0,1
1,1,13.1744031830239,39.9474137931034,8.68395225464191,18.1757294429708,895.949602122016,87.6127320954907,15.920424403183,1,0,0,0,0,0
0,2,-7.50324189526185,141.487497921862,9.49675810473815,-25.1,412,45,156,0,0,0,0,0,0
