"presence","fold","bio04","bio08","bio10","bio16","bio18","forest","shrub","grass","wetland","crop","urban"
1,2,42.430027100271,13.3186991869919,23.5944444444444,132.422764227642,27.5420054200542,0,0,0,0,0,1
1,2,60.276035131744,8.6,23.8887076537014,263.868255959849,9,0,0,0,0,0,1
0,2,20.419664,17.68608,17.90128,452.1392,259.6144,0,0,0,0,0,1
0,3,83.305383759733,0.516351501668521,21.4,117.246941045606,42.3181312569522,0,0,0,0,0,1
0,2,94.347019438445,-3.63358531317495,17.5011879049676,340.225701943845,266.109071274298,1,0,0,0,0,0
0,3,83.2385540838852,0.171192052980132,21.0381898454746,121.806843267108,42.4690949227373,0,0,0,0,1,0
0,3,99.4425903614458,22.2007228915663,22.2007228915663,300,300,0,0,0,0,0,1
0,2,62.0503552397869,26.8,27.1,533.001776198934,511.98756660746,0,0,0,0,0,1
1,2,37.1441509433962,6.79056603773585,13.6811320754717,984.622641509434,386.905660377359,1,0,0,0,0,0
0,3,99.6544609665428,22.1887236679058,24.6185873605948,353.852540272615,324.685254027262,0,0,1,0,0,0
0,2,120.697957894737,16.9469473684211,19.4,215.046315789474,214,0,0,1,0,0,0
1,1,40.2946957671958,8.56084656084656,18.5566137566138,474.958994708995,16.4338624338624,1,0,0,0,0,0
0,2,61.4146232439336,8.75351213282248,23.9450830140485,302.697318007663,12.6168582375479,0,0,0,0,0,1
1,3,90.8128109452736,9.76069651741294,22.7601990049751,148.455223880597,70,0,0,0,0,0,1
0,2,85.2787974683544,20.4963291139241,22.5788607594937,285.143037974684,280.951898734177,0,0,0,0,1,0
0,2,61.5975783475783,26.767094017094,27,540.371794871795,529.07264957265,0,0,0,1,0,0
0,1,99.274972796518,0.9,17.7151251360174,307.400435255713,263.151251360174,1,0,0,0,0,0
1,2,50.9504501607717,3.12990353697749,15.5102893890675,1145.56806002144,175.468381564845,1,0,0,0,0,0
0,3,100.203201911589,22.1930704898447,22.1930704898447,302.011947431302,302.011947431302,0,0,0,0,0,1
1,1,39.2953350515464,8.5895618556701,18.2807989690722,471.170103092783,17,1,0,0,0,0,0
0,1,69.1194965986395,25.4006802721088,25.4006802721088,485.887074829932,485.887074829932,1,0,0,0,0,0
0,2,48.1125697503671,26.83906020558,26.83906020558,565.176211453745,565.176211453745,0,0,0,0,0,1
0,3,83.2871491712707,0.292707182320442,21.1927071823204,116.491712707182,41,0,0,0,0,0,1
0,2,86.2566636363637,12.5089090909091,12.5089090909091,211.963636363636,211.963636363636,1,0,0,0,0,0
0,2,45.8714537444934,27.2787077826725,27.2787077826725,532.140969162996,526.237885462555,0,0,0,0,0,1
1,2,50.2195582329317,3.37158634538153,15.5407630522088,892.610441767068,154.035140562249,0,0,0,0,0,0
1,1,57.9029834254144,2.56475138121547,16.8280662983425,875.837569060773,121.32044198895,1,0,0,0,0,0
